Genome	Description	TotalLength
GCF_003688415.1	ABKDJPGO_00163 Homoserine O-succinyltransferase	376
GCF_003688415.1	ABKDJPGO_00112 hypothetical protein	196
GCF_003688415.1	ABKDJPGO_00044 FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase	247
GCF_001641005.1	ABKIHANH_01236 L-asparagine permease 2	512
GCF_001641005.1	ABKIHANH_03030 Major myo-inositol transporter IolT	458
GCF_001641005.1	ABKIHANH_02486 Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase	369
GCF_001641005.1	ABKIHANH_01338 putative protein-export membrane protein SecG	83
GCF_001641005.1	ABKIHANH_01879 hypothetical protein	393
GCF_900112225.1	ABKOEOAD_03255 Tyrosine recombinase XerC	208
GCF_900112225.1	ABKOEOAD_02610 Glutathione hydrolase proenzyme	581
GCF_900112225.1	ABKOEOAD_03316 hypothetical protein	141
GCF_900112225.1	ABKOEOAD_00522 High-affinity branched-chain amino acid transport ATP-binding protein LivF	235
GCF_900112225.1	ABKOEOAD_00532 putative chromosome-partitioning protein ParB	290
GCF_002906475.1	ABLCOLGF_02737 Serine endoprotease DegS	355
GCF_002906475.1	ABLCOLGF_03888 hypothetical protein	63
GCF_002906475.1	ABLCOLGF_01004 Ion-translocating oxidoreductase complex subunit B	197
GCF_002906475.1	ABLCOLGF_02148 Translation initiation factor IF-1	72
GCF_002906475.1	ABLCOLGF_01861 hypothetical protein	82
GCF_900111235.1	ABMNFMMJ_03873 hypothetical protein	94
GCF_900111235.1	ABMNFMMJ_02938 hypothetical protein	136
GCF_900111235.1	ABMNFMMJ_02143 Endolytic murein transglycosylase	343
GCF_900111235.1	ABMNFMMJ_01510 ATP-dependent zinc metalloprotease FtsH	608
GCF_900111235.1	ABMNFMMJ_01714 hypothetical protein	79
GCF_019670705.1	ABNEIIGF_01311 hypothetical protein	312
GCF_019670705.1	ABNEIIGF_00849 Sensor histidine kinase RcsC	1765
GCF_019670705.1	ABNEIIGF_01053 hypothetical protein	324
GCF_019670705.1	ABNEIIGF_01530 hypothetical protein	105
GCF_019670705.1	ABNEIIGF_00351 50S ribosomal protein L28	78
GCF_009193305.1	ABNEJEOD_01736 Beta-galactosidase	872
GCF_009193305.1	ABNEJEOD_00595 Diacetylchitobiose uptake system permease protein DasC	284
GCF_009193305.1	ABNEJEOD_00187 Tyrosine recombinase XerC	400
GCF_009193305.1	ABNEJEOD_01597 Aconitate hydratase A	901
GCF_009193305.1	ABNEJEOD_00951 Alpha-galactosidase	738
GCF_001592005.1	ABNGPBJK_00742 Membrane protein YknW	217
GCF_001592005.1	ABNGPBJK_02783 hypothetical protein	35
GCF_001592005.1	ABNGPBJK_01866 DNA repair protein RecO	270
GCF_001592005.1	ABNGPBJK_03205 RNA polymerase-binding transcription factor DksA	250
GCF_001592005.1	ABNGPBJK_02519 hypothetical protein	622
GCF_002028405.1	ABNINIFB_00172 DNA repair protein RadA	334
GCF_002028405.1	ABNINIFB_01364 hypothetical protein	53
GCF_002028405.1	ABNINIFB_00784 Pyruvate kinase II	477
GCF_002028405.1	ABNINIFB_01321 Ammonia channel	464
GCF_002028405.1	ABNINIFB_02411 Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase	265
GCF_006757745.1	ABNKEBCN_01283 putative oxidoreductase	247
GCF_006757745.1	ABNKEBCN_01048 IS256 family transposase ISEc39	402
GCF_006757745.1	ABNKEBCN_01412 Electron transfer flavoprotein-ubiquinone oxidoreductase	561
GCF_006757745.1	ABNKEBCN_00432 Trigger factor	443
GCF_006757745.1	ABNKEBCN_02287 Signal recognition particle protein	471
GCF_003245365.1	ABOEBFCL_00381 Urease subunit beta	101
GCF_003245365.1	ABOEBFCL_01013 Thiosulfate sulfurtransferase GlpE	109
GCF_003245365.1	ABOEBFCL_00911 hypothetical protein	150
GCF_003245365.1	ABOEBFCL_00084 hypothetical protein	172
GCF_003245365.1	ABOEBFCL_01008 putative protein	226
GCF_003605195.1	ABOMOMKL_01674 hypothetical protein	59
GCF_003605195.1	ABOMOMKL_00301 hypothetical protein	418
GCF_003605195.1	ABOMOMKL_01121 Homoserine kinase	254
GCF_003605195.1	ABOMOMKL_02294 Epoxide hydrolase A	299
GCF_003605195.1	ABOMOMKL_00295 O-succinylhomoserine sulfhydrylase	406
GCF_013185185.1	ABPADGLE_00625 hypothetical protein	160
GCF_013185185.1	ABPADGLE_00184 ATP-dependent Clp protease proteolytic subunit	200
GCF_013185185.1	ABPADGLE_00082 DNA-directed RNA polymerase subunit alpha	314
GCF_013185185.1	ABPADGLE_02407 hypothetical protein	1158
GCF_013185185.1	ABPADGLE_02983 Multidrug transporter EmrE	111
GCF_000337495.1	ACAADGIB_04104 hypothetical protein	152
GCF_000337495.1	ACAADGIB_03901 hypothetical protein	246
GCF_000337495.1	ACAADGIB_01294 Thiamine-monophosphate kinase	308
GCF_000337495.1	ACAADGIB_00847 hypothetical protein	391
GCF_000337495.1	ACAADGIB_04172 NADP-specific glutamate dehydrogenase A1	418
GCF_016734765.1	ACAGBHDE_02713 hypothetical protein	339
GCF_016734765.1	ACAGBHDE_00643 Acetyl-CoA:oxalate CoA-transferase	414
GCF_016734765.1	ACAGBHDE_04207 Metalloprotease MmpA	387
GCF_016734765.1	ACAGBHDE_05500 hypothetical protein	246
GCF_016734765.1	ACAGBHDE_01436 hypothetical protein	659
GCF_001247745.1	ACAHGFFF_01493 Phosphomethylpyrimidine synthase	570
GCF_001247745.1	ACAHGFFF_01246 Homoserine O-acetyltransferase	378
GCF_001247745.1	ACAHGFFF_01180 Hemin transport system permease protein HmuU	337
GCF_001247745.1	ACAHGFFF_02660 Putative aminoacrylate hydrolase RutD	382
GCF_001247745.1	ACAHGFFF_02544 Photosystem I reaction center subunit XI	239
GCF_009931295.1	ACAIKKLI_00898 Chaperone protein PapD	249
GCF_009931295.1	ACAIKKLI_04308 Glycerol-3-phosphate dehydrogenase [NAD(P)+]	339
GCF_009931295.1	ACAIKKLI_02451 RNA chaperone ProQ	257
GCF_009931295.1	ACAIKKLI_01057 hypothetical protein	96
GCF_009931295.1	ACAIKKLI_01735 Motility protein B	94
GCF_016724785.1	ACAKIGDM_00619 Putative short-chain fatty acid transporter	458
GCF_016724785.1	ACAKIGDM_00146 hypothetical protein	74
GCF_016724785.1	ACAKIGDM_01336 Bacteriochlorophyllide d C-12(1)-methyltransferase	444
GCF_016724785.1	ACAKIGDM_00880 putative protein	351
GCF_016724785.1	ACAKIGDM_00768 hypothetical protein	197
GCF_900445285.1	ACBLCCEM_00646 Ribosome-binding factor A	128
GCF_900445285.1	ACBLCCEM_00922 Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit	299
GCF_900445285.1	ACBLCCEM_01139 Anaerobic ribonucleoside-triphosphate reductase	706
GCF_900445285.1	ACBLCCEM_00351 hypothetical protein	106
GCF_900445285.1	ACBLCCEM_00104 Serine/threonine transporter SstT	408
GCF_002795805.1	ACCLENDC_01047 Multidrug resistance protein MdtB	1107
GCF_002795805.1	ACCLENDC_01069 Flavin prenyltransferase UbiX	207
GCF_002795805.1	ACCLENDC_00265 Soluble lytic murein transglycosylase	643
GCF_002795805.1	ACCLENDC_01871 Ubiquinone biosynthesis O-methyltransferase, mitochondrial	250
GCF_002795805.1	ACCLENDC_01802 hypothetical protein	69
GCF_008064635.1	ACDBGHLB_02284 Vitamin B12 import ATP-binding protein BtuD	288
GCF_008064635.1	ACDBGHLB_01047 hypothetical protein	745
GCF_008064635.1	ACDBGHLB_02252 Kynureninase	433
GCF_008064635.1	ACDBGHLB_01832 hypothetical protein	382
GCF_008064635.1	ACDBGHLB_03535 hypothetical protein	495
GCF_024054535.1	ACDJKHLD_01899 hypothetical protein	237
GCF_024054535.1	ACDJKHLD_00046 Mevalonate kinase	333
GCF_024054535.1	ACDJKHLD_01661 Multidrug resistance protein MdtG	413
GCF_024054535.1	ACDJKHLD_01419 2-oxoglutarate synthase subunit KorB	281
GCF_024054535.1	ACDJKHLD_00720 hypothetical protein	190
GCF_013372045.1	ACDNILIP_02175 hypothetical protein	1073
GCF_013372045.1	ACDNILIP_04068 3-oxoacyl-[acyl-carrier-protein] synthase 2	416
GCF_013372045.1	ACDNILIP_00213 Homoserine/homoserine lactone efflux protein	213
GCF_013372045.1	ACDNILIP_05398 Undecaprenyl-diphosphatase	281
GCF_013372045.1	ACDNILIP_03487 Flavin-dependent L-tryptophan oxidase VioA	435
GCF_000189415.1	ACEAMIMD_00079 hypothetical protein	407
GCF_000189415.1	ACEAMIMD_00258 hypothetical protein	151
GCF_000189415.1	ACEAMIMD_01508 Biotin carboxylase	453
GCF_000189415.1	ACEAMIMD_00579 Peptidoglycan O-acetyltransferase	480
GCF_000189415.1	ACEAMIMD_00525 Nicotinamide-nucleotide amidohydrolase PncC	443
GCF_003010915.2	ACEKEKJF_00577 Phospho-2-dehydro-3-deoxyheptonate aldolase	465
GCF_003010915.2	ACEKEKJF_01083 Heme chaperone HemW	389
GCF_003010915.2	ACEKEKJF_01158 hypothetical protein	104
GCF_003010915.2	ACEKEKJF_01658 hypothetical protein	44
GCF_003010915.2	ACEKEKJF_02356 putative protein	244
GCF_020532675.1	ACEMNAJJ_01672 Vitamin B12 import ATP-binding protein BtuD	251
GCF_020532675.1	ACEMNAJJ_00718 hypothetical protein	52
GCF_020532675.1	ACEMNAJJ_02551 hypothetical protein	142
GCF_020532675.1	ACEMNAJJ_00370 Twitching mobility protein	390
GCF_020532675.1	ACEMNAJJ_00976 hypothetical protein	72
GCF_003987655.1	ACEPDFCF_02019 Protein LacX, plasmid	290
GCF_003987655.1	ACEPDFCF_00031 Deoxyribose-phosphate aldolase	224
GCF_003987655.1	ACEPDFCF_00730 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	310
GCF_003987655.1	ACEPDFCF_02195 Chromate transport protein	176
GCF_003987655.1	ACEPDFCF_01308 Proton/glutamate-aspartate symporter	412
GCF_002119845.1	ACEPMIED_04165 Bifunctional purine biosynthesis protein PurH	538
GCF_002119845.1	ACEPMIED_05377 hypothetical protein	248
GCF_002119845.1	ACEPMIED_03642 Sarcosine oxidase subunit beta	417
GCF_002119845.1	ACEPMIED_05685 Ribose import binding protein RbsB	313
GCF_002119845.1	ACEPMIED_05297 hypothetical protein	140
GCA_018000095.1	ACFGCPLO_00471 2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase	285
GCA_018000095.1	ACFGCPLO_00497 hypothetical protein	110
GCA_018000095.1	ACFGCPLO_00651 putative [Fe-S]-dependent transcriptional repressor FeoC	79
GCA_018000095.1	ACFGCPLO_01037 Inner membrane symporter YicJ	466
GCA_018000095.1	ACFGCPLO_01004 2-dehydro-3-deoxygluconokinase	312
GCF_003076335.1	ACGHBKHC_00942 Fructose-bisphosphate aldolase	341
GCF_003076335.1	ACGHBKHC_02980 Lipase 1	288
GCF_003076335.1	ACGHBKHC_01723 Glutathione import ATP-binding protein GsiA	556
GCF_003076335.1	ACGHBKHC_01409 Glutamate synthase [NADPH] large chain	1523
GCF_003076335.1	ACGHBKHC_02346 HTH-type transcriptional regulator MalT	925
GCF_000733125.1	ACHCOJBP_02540 hypothetical protein	589
GCF_000733125.1	ACHCOJBP_03025 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	224
GCF_000733125.1	ACHCOJBP_02716 hypothetical protein	81
GCF_000733125.1	ACHCOJBP_01139 Lysine--tRNA ligase	538
GCF_000733125.1	ACHCOJBP_02686 Haloalkane dehalogenase	313
GCF_000190635.1	ACIBAIMO_00924 HTH-type transcriptional regulator Hpr	149
GCF_000190635.1	ACIBAIMO_00203 Foldase protein PrsA 2	311
GCF_000190635.1	ACIBAIMO_00315 Negative regulator of genetic competence ClpC/MecB	841
GCF_000190635.1	ACIBAIMO_03190 Regulator of RpoS	477
GCF_000190635.1	ACIBAIMO_02129 putative ABC transporter ATP-binding protein	588
GCF_020525585.1	ACICBGDG_03088 KHG/KDPG aldolase	213
GCF_020525585.1	ACICBGDG_01352 LPS-assembly lipoprotein LptE	196
GCF_020525585.1	ACICBGDG_04291 HTH-type transcriptional regulator YidZ	313
GCF_020525585.1	ACICBGDG_01729 Fe(3+)-binding periplasmic protein	338
GCF_020525585.1	ACICBGDG_02617 Methyl viologen resistance protein SmvA	499
GCF_014190775.1	ACJFNKAB_02488 Small-conductance mechanosensitive channel	276
GCF_014190775.1	ACJFNKAB_02495 NAD(P)H azoreductase	284
GCF_014190775.1	ACJFNKAB_03090 hypothetical protein	146
GCF_014190775.1	ACJFNKAB_01377 Orotidine 5'-phosphate decarboxylase	290
GCF_014190775.1	ACJFNKAB_03862 10 kDa chaperonin	98
GCF_013409345.1	ACJOLCCA_00708 50S ribosomal protein L28	61
GCF_013409345.1	ACJOLCCA_01031 GTP 3',8-cyclase 2	387
GCF_013409345.1	ACJOLCCA_04284 hypothetical protein	110
GCF_013409345.1	ACJOLCCA_03151 Glutamate racemase	277
GCF_013409345.1	ACJOLCCA_01473 Alkanal monooxygenase alpha chain	368
GCF_900637635.1	ACKCKNHG_00665 hypothetical protein	251
GCF_900637635.1	ACKCKNHG_01053 Intermembrane phospholipid transport system binding protein MlaD	160
GCF_900637635.1	ACKCKNHG_01784 hypothetical protein	119
GCF_900637635.1	ACKCKNHG_00918 hypothetical protein	1257
GCF_900637635.1	ACKCKNHG_02379 50S ribosomal protein L35	66
GCF_008831085.1	ACKFNALL_00218 Ktr system potassium uptake protein A	222
GCF_008831085.1	ACKFNALL_02070 Holliday junction ATP-dependent DNA helicase RuvB	911
GCF_008831085.1	ACKFNALL_02846 Multifunctional non-homologous end joining protein LigD	829
GCF_008831085.1	ACKFNALL_01646 DNA polymerase III PolC-type	228
GCF_008831085.1	ACKFNALL_02661 NH(3)-dependent NAD(+) synthetase	279
GCF_001697245.1	ACKLJNGH_01458 hypothetical protein	105
GCF_001697245.1	ACKLJNGH_01608 Glycerol-1-phosphate dehydrogenase [NAD(P)+]	450
GCF_001697245.1	ACKLJNGH_02154 Phosphate regulon transcriptional regulatory protein PhoB	222
GCF_001697245.1	ACKLJNGH_00690 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	175
GCF_001697245.1	ACKLJNGH_02274 ATP-dependent helicase/nuclease subunit A	1093
GCF_022267535.1	ACLCDPHN_03052 Carboxylesterase 2	219
GCF_022267535.1	ACLCDPHN_00169 hypothetical protein	194
GCF_022267535.1	ACLCDPHN_02193 hypothetical protein	639
GCF_022267535.1	ACLCDPHN_00379 Acetyl-coenzyme A synthetase	630
GCF_022267535.1	ACLCDPHN_03380 hypothetical protein	208
GCF_002894165.1	ACLIECIH_01068 hypothetical protein	661
GCF_002894165.1	ACLIECIH_00419 Inorganic triphosphatase	166
GCF_002894165.1	ACLIECIH_01121 hypothetical protein	35
GCF_002894165.1	ACLIECIH_00347 Tyrosine recombinase XerC	445
GCF_002894165.1	ACLIECIH_00581 RecBCD enzyme subunit RecB	1076
GCF_000092245.1	ACLPNNLJ_02569 Cell division protein DamX	604
GCF_000092245.1	ACLPNNLJ_02766 Transcriptional regulatory protein PhoP	226
GCF_000092245.1	ACLPNNLJ_02876 8-amino-7-oxononanoate synthase	362
GCF_000092245.1	ACLPNNLJ_02932 hypothetical protein	176
GCF_000092245.1	ACLPNNLJ_00348 Pca regulon regulatory protein	258
GCF_010500895.1	ACMCPNBP_01847 Efflux pump membrane transporter BepE	1039
GCF_010500895.1	ACMCPNBP_01002 Phosphocarrier protein NPr	90
GCF_010500895.1	ACMCPNBP_01584 Elongation factor Ts	290
GCF_010500895.1	ACMCPNBP_03353 K(+)/H(+) antiporter NhaP2	486
GCF_010500895.1	ACMCPNBP_01796 Ion-translocating oxidoreductase complex subunit C	796
GCF_006874425.1	ACNBBPAN_03301 Xanthine phosphoribosyltransferase	190
GCF_006874425.1	ACNBBPAN_01372 Arginine deiminase	410
GCF_006874425.1	ACNBBPAN_02709 Cobalt-factor III methyltransferase	599
GCF_006874425.1	ACNBBPAN_03637 Na(+)/H(+) antiporter subunit E	158
GCF_006874425.1	ACNBBPAN_01057 hypothetical protein	1655
GCF_014641615.1	ACNELJEE_05162 hypothetical protein	187
GCF_014641615.1	ACNELJEE_04052 hypothetical protein	302
GCF_014641615.1	ACNELJEE_01769 Phosphoglucomutase	575
GCF_014641615.1	ACNELJEE_00999 hypothetical protein	391
GCF_014641615.1	ACNELJEE_03586 10 kDa chaperonin	93
GCF_013408435.1	ACNIMMJE_01283 Serine permease SerP1	496
GCF_013408435.1	ACNIMMJE_01139 Ribonuclease E	1355
GCF_013408435.1	ACNIMMJE_00864 CTP synthase	579
GCF_013408435.1	ACNIMMJE_00251 hypothetical protein	71
GCF_013408435.1	ACNIMMJE_00626 hypothetical protein	323
GCF_012689235.1	ACONPJMK_00581 Chaperone protein DnaJ	303
GCF_012689235.1	ACONPJMK_00520 NADH-dependent butanol dehydrogenase A	390
GCF_012689235.1	ACONPJMK_00790 Phosphate import ATP-binding protein PstB 3	255
GCF_012689235.1	ACONPJMK_01176 Lysine--tRNA ligase	495
GCF_012689235.1	ACONPJMK_00015 hypothetical protein	441
GCF_000021045.1	ACOPACLB_01586 hypothetical protein	77
GCF_000021045.1	ACOPACLB_04416 hypothetical protein	70
GCF_000021045.1	ACOPACLB_03664 putative protein	295
GCF_000021045.1	ACOPACLB_04833 RecBCD enzyme subunit RecB	1226
GCF_000021045.1	ACOPACLB_00173 NAD(P) transhydrogenase subunit alpha part 1	390
GCF_017378515.1	ACPGGAMK_00133 hypothetical protein	76
GCF_017378515.1	ACPGGAMK_01027 hypothetical protein	90
GCF_017378515.1	ACPGGAMK_01106 Fatty acid metabolism regulator protein	287
GCF_017378515.1	ACPGGAMK_00871 2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD(+))	334
GCF_017378515.1	ACPGGAMK_00730 Glucosamine-6-phosphate deaminase	270
GCF_001307545.1	ACPLOCBA_02357 D-alanine--D-alanine ligase	373
GCF_001307545.1	ACPLOCBA_01231 hypothetical protein	34
GCF_001307545.1	ACPLOCBA_04499 LL-diaminopimelate aminotransferase	366
GCF_001307545.1	ACPLOCBA_01662 Biphenyl-2,3-diol 1,2-dioxygenase	288
GCF_001307545.1	ACPLOCBA_02261 hypothetical protein	128
GCF_900240305.1	ADAECHDK_01311 Type 3 secretion system secretin	716
GCF_900240305.1	ADAECHDK_02456 Putative aliphatic sulfonates transport permease protein SsuC	257
GCF_900240305.1	ADAECHDK_01056 Cytochrome b561	187
GCF_900240305.1	ADAECHDK_01872 hypothetical protein	182
GCF_900240305.1	ADAECHDK_00699 D-threonate 4-phosphate dehydrogenase	338
GCF_004912195.1	ADAFJMKL_02263 1,4-dihydroxy-2-naphthoyl-CoA synthase	321
GCF_004912195.1	ADAFJMKL_01485 hypothetical protein	218
GCF_004912195.1	ADAFJMKL_02037 hypothetical protein	387
GCF_004912195.1	ADAFJMKL_01745 hypothetical protein	134
GCF_004912195.1	ADAFJMKL_03560 hypothetical protein	141
GCF_014646375.1	ADAMLDDF_00504 hypothetical protein	334
GCF_014646375.1	ADAMLDDF_03197 hypothetical protein	30
GCF_014646375.1	ADAMLDDF_00864 hypothetical protein	186
GCF_014646375.1	ADAMLDDF_02373 hypothetical protein	195
GCF_014646375.1	ADAMLDDF_01594 (R)-stereoselective amidase	267
GCF_001047375.1	ADCAIHKM_00866 Elongation factor Tu-B	398
GCF_001047375.1	ADCAIHKM_01204 Transposase from transposon Tn916	238
GCF_001047375.1	ADCAIHKM_00468 hypothetical protein	100
GCF_001047375.1	ADCAIHKM_00101 hypothetical protein	522
GCF_001047375.1	ADCAIHKM_00509 Putative xanthine dehydrogenase molybdenum-binding subunit XdhA	710
GCF_013357385.1	ADCDDPFI_00111 Geranial dehydrogenase	493
GCF_013357385.1	ADCDDPFI_04530 putative protein	208
GCF_013357385.1	ADCDDPFI_02459 Acryloyl-CoA reductase (NADH)	378
GCF_013357385.1	ADCDDPFI_01131 RNA pyrophosphohydrolase	341
GCF_013357385.1	ADCDDPFI_00619 hypothetical protein	265
GCF_000425325.1	ADCIAHCO_02103 4-carboxy-4-hydroxy-2-oxoadipate aldolase	221
GCF_000425325.1	ADCIAHCO_01567 Decaprenylphosphoryl-2-keto-beta-D-erythro-pentose reductase	249
GCF_000425325.1	ADCIAHCO_01301 hypothetical protein	102
GCF_000425325.1	ADCIAHCO_01840 hypothetical protein	47
GCF_000425325.1	ADCIAHCO_02114 hypothetical protein	87
GCF_003208215.1	ADCIEIBB_02818 Sec-independent protein translocase protein TatB	130
GCF_003208215.1	ADCIEIBB_01498 hypothetical protein	111
GCF_003208215.1	ADCIEIBB_03165 Oxaloacetate decarboxylase beta chain	390
GCF_003208215.1	ADCIEIBB_02207 Sporulation initiation inhibitor protein Soj	257
GCF_003208215.1	ADCIEIBB_01362 Vitamin B12 import ATP-binding protein BtuD	336
GCF_002196515.1	ADDABEKA_00007 ATP-binding/permease protein CydD	596
GCF_002196515.1	ADDABEKA_01037 Bifunctional aspartokinase/homoserine dehydrogenase 1	820
GCF_002196515.1	ADDABEKA_03740 hypothetical protein	443
GCF_002196515.1	ADDABEKA_03799 Cobalt-precorrin-4 C(11)-methyltransferase	255
GCF_002196515.1	ADDABEKA_02980 Lipopolysaccharide assembly protein B	389
GCF_000315485.1	ADDBNLAD_02525 hypothetical protein	89
GCF_000315485.1	ADDBNLAD_04462 hypothetical protein	77
GCF_000315485.1	ADDBNLAD_03308 D-erythrulose-4-phosphate isomerase	149
GCF_000315485.1	ADDBNLAD_02813 3-oxoacyl-[acyl-carrier-protein] synthase 3	334
GCF_000315485.1	ADDBNLAD_04732 hypothetical protein	67
GCF_000807275.1	ADDHOEJM_02077 DNA gyrase subunit B	803
GCF_000807275.1	ADDHOEJM_00494 Inorganic pyrophosphatase	175
GCF_000807275.1	ADDHOEJM_01595 Elongation factor 4	598
GCF_000807275.1	ADDHOEJM_01615 TonB-dependent heme receptor A	772
GCF_000807275.1	ADDHOEJM_00868 Purine nucleoside phosphoramidase	115
GCF_003967135.1	ADDIJDHL_00016 50S ribosomal protein L32	60
GCF_003967135.1	ADDIJDHL_01209 Citrate/malate transporter	443
GCF_003967135.1	ADDIJDHL_02179 DNA mismatch repair protein MutL	104
GCF_003967135.1	ADDIJDHL_00882 hypothetical protein	63
GCF_003967135.1	ADDIJDHL_01976 hypothetical protein	244
GCF_000420505.1	ADDJOFCO_01261 hypothetical protein	165
GCF_000420505.1	ADDJOFCO_01081 Putative HMP/thiamine import ATP-binding protein YkoD	487
GCF_000420505.1	ADDJOFCO_00856 putative low molecular weight protein-tyrosine-phosphatase	166
GCF_000420505.1	ADDJOFCO_01571 Serine hydroxymethyltransferase 1	427
GCF_000420505.1	ADDJOFCO_01499 hypothetical protein	397
GCF_000420545.1	ADEDPHKF_01278 hypothetical protein	169
GCF_000420545.1	ADEDPHKF_00717 Protein oar	987
GCF_000420545.1	ADEDPHKF_01874 Ubiquinone biosynthesis accessory factor UbiJ	214
GCF_000420545.1	ADEDPHKF_02587 hypothetical protein	103
GCF_000420545.1	ADEDPHKF_02795 hypothetical protein	194
GCF_014647095.1	ADELLDLL_02207 hypothetical protein	246
GCF_014647095.1	ADELLDLL_00819 putative copper-exporting P-type ATPase	858
GCF_014647095.1	ADELLDLL_01491 putative branched-chain amino acid transport ATP-binding protein LivG	252
GCF_014647095.1	ADELLDLL_02188 D-erythrose-4-phosphate dehydrogenase	334
GCF_014647095.1	ADELLDLL_00016 Aspartate carbamoyltransferase regulatory chain	155
GCF_000144915.1	ADENHGOL_01429 Glucose import ATP-binding protein GlcV	229
GCF_000144915.1	ADENHGOL_00819 hypothetical protein	962
GCF_000144915.1	ADENHGOL_01221 Isocitrate lyase	314
GCF_000144915.1	ADENHGOL_00895 N-acetylmannosamine kinase	322
GCF_000144915.1	ADENHGOL_00851 hypothetical protein	127
GCF_004295585.1	ADFLDFAF_02795 2-(acetamidomethylene)succinate hydrolase	274
GCF_004295585.1	ADFLDFAF_05178 Cyclic di-GMP phosphodiesterase	207
